Economy,Original Group,Group,GDP PPP (B),GDPxr (B),Expenditure Per Capita,ExPCxr,Price Level index,Expenditure Per Capita Index by World,Expenditure Per Capita Index by World XR,Expenditure Per Capita Index by USA,Expenditure Per Capita Index by USA XR,Expenditure Share,Expenditure Share XR,Population Share,PPP,Exchange Rate,Population (M),Local Expenditure (B)
Ireland,EUROSTAT-OECD,Eurostat,$197,$226,$42942,$49383,148.3,319,473.1,86.3,99.2,0.2,0.3,0.1,0.827,0.719,4.58,162.6
Israel,EUROSTAT-OECD,Eurostat,$234,$258,$30168,$33259,142.2,224.1,318.6,60.6,66.8,0.3,0.4,0.1,3.945,3.578,7.76,923.9
Italy,EUROSTAT-OECD,Eurostat,$2057,$2197,$33870,$36180,137.7,251.6,346.6,68,72.7,2.3,3.1,0.9,0.768,0.719,60.72,1580.4
Japan,EUROSTAT-OECD,Eurostat,$4380,$5897,$34262,$46131,173.6,254.5,441.9,68.8,92.7,4.8,8.4,1.9,107.454,79.807,127.83,470623.2
Korea Rep.,EUROSTAT-OECD,Eurostat,$1445,$1115,$29035,$22388,99.4,215.7,214.5,58.3,45,1.6,1.6,0.7,854.586,1108.29,49.78,1235160.5
Latvia,EUROSTAT-OECD,Eurostat,$41,$28,$19994,$13658,88.1,148.5,130.8,40.2,27.4,0,0,0,0.347,0.508,2.06,14.3
Lithuania,EUROSTAT-OECD,Eurostat,$68,$43,$22521,$14212,81.4,167.3,136.2,45.2,28.5,0.1,0.1,0,1.567,2.484,3.03,106.9
Luxembourg,EUROSTAT-OECD,Eurostat,$46,$58,$88670,$111689,162.4,658.8,1070,178.1,224.4,0.1,0.1,0,0.906,0.719,0.52,41.7
Macedonia FYR,EUROSTAT-OECD,Eurostat,$25,$10,$11957,$5050,54.5,88.8,48.4,24,10.1,0,0,0,18.68,44.226,2.06,459.8
Malta,EUROSTAT-OECD,Eurostat,$12,$9,$28608,$22201,100.1,212.5,212.7,57.5,44.6,0,0,0,0.558,0.719,0.41,6.6
Mexico,EUROSTAT-OECD,Eurostat,$1895,$1170,$16377,$10115,79.6,121.7,96.9,32.9,20.3,2.1,1.7,1.7,7.673,12.423,115.68,14536.9
Montenegro,EUROSTAT-OECD,Eurostat,$9,$5,$14128,$7244,66.1,105,69.4,28.4,14.6,0,0,0,0.369,0.719,0.62,3.2
Netherlands,EUROSTAT-OECD,Eurostat,$720,$833,$43150,$49888,149.1,320.6,477.9,86.7,100.2,0.8,1.2,0.2,0.832,0.719,16.69,599
New Zealand,EUROSTAT-OECD,Eurostat,$138,$162,$31172,$36591,151.4,231.6,350.5,62.6,73.5,0.2,0.2,0.1,1.486,1.266,4.41,204.5
Norway,EUROSTAT-OECD,Eurostat,$307,$491,$61879,$99035,206.4,459.7,948.8,124.3,198.9,0.3,0.7,0.1,8.973,5.606,4.95,2750
Poland,EUROSTAT-OECD,Eurostat,$838,$516,$21753,$13382,79.3,161.6,128.2,43.7,26.9,0.9,0.7,0.6,1.823,2.964,38.53,1528.1
Portugal,EUROSTAT-OECD,Eurostat,$273,$238,$25672,$22396,112.5,190.7,214.6,51.6,45,0.3,0.3,0.2,0.628,0.719,10.62,171.1
Romania,EUROSTAT-OECD,Eurostat,$345,$183,$16146,$8549,68.3,119.9,81.9,32.4,17.2,0.4,0.3,0.3,1.615,3.049,21.35,556.7
Russian Federation,EUROSTAT-OECD,Eurostat,$3217,$1901,$22502,$13298,76.2,167.2,127.4,45.2,26.7,3.5,2.7,2.1,17.346,29.352,142.96,55799.6
Serbia,EUROSTAT-OECD,Eurostat,$86,$44,$11854,$6027,65.6,88.1,57.7,23.8,12.1,0.1,0.1,0.1,37.288,73.338,7.26,3208.6
Slovakia,EUROSTAT-OECD,Eurostat,$136,$96,$25130,$17762,91.1,186.7,170.2,50.5,35.7,0.1,0.1,0.1,0.508,0.719,5.4,69
Slovenia,EUROSTAT-OECD,Eurostat,$58,$50,$28156,$24480,112.1,209.2,234.5,56.6,49.2,0.1,0.1,0,0.625,0.719,2.05,36.1
Spain,EUROSTAT-OECD,Eurostat,$1483,$1455,$32156,$31534,126.5,238.9,302.1,64.6,63.3,1.6,2.1,0.7,0.705,0.719,46.13,1046.3
Sweden,EUROSTAT-OECD,Eurostat,$395,$536,$41761,$56704,175.1,310.3,543.2,83.9,113.9,0.4,0.8,0.1,8.82,6.496,9.45,3480.5
Switzerland,EUROSTAT-OECD,Eurostat,$406,$660,$51582,$83854,209.6,383.2,803.3,103.6,168.4,0.4,0.9,0.1,1.441,0.887,7.87,585.1
Turkey,EUROSTAT-OECD,Eurostat,$1315,$772,$17781,$10435,75.7,132.1,100,35.7,21,1.5,1.1,1.1,0.987,1.682,73.95,1297.7
United Kingdom,EUROSTAT-OECD,Eurostat,$2201,$2462,$35091,$39241,144.2,260.7,375.9,70.5,78.8,2.4,3.5,0.9,0.698,0.624,62.74,1536.9
United States,EUROSTAT-OECD,Eurostat,$15534,$15534,$49782,$49782,129,369.8,476.9,100,100,17.1,22.1,4.6,1,1,312.04,15533.8
EUROSTAT-OECD,WORLD,World,$48687,$49253,$33675,$34067,130.5,250.2,326.4,67.6,68.4,53.7,70.1,21.5,,,1445.76,
Bolivia,LATIN AMERICA,Other,$56,$24,$5557,$2360,54.8,41.3,22.6,11.2,4.7,0.1,0,0.2,2.946,6.937,10.15,166.1
Brazil,LATIN AMERICA,Other,$2816,$2477,$14639,$12874,113.4,108.8,123.3,29.4,25.9,3.1,3.5,2.9,1.471,1.673,192.38,4143
Colombia,LATIN AMERICA,Other,$535,$336,$11360,$7142,81.1,84.4,68.4,22.8,14.3,0.6,0.5,0.7,1161.91,1848.139,47.09,621615
Costa Rica,LATIN AMERICA,Other,$60,$41,$13030,$8935,88.4,96.8,85.6,26.2,17.9,0.1,0.1,0.1,346.738,505.664,4.59,20748
Dominican Republic,LATIN AMERICA,Other,$109,$56,$10858,$5541,65.8,80.7,53.1,21.8,11.1,0.1,0.1,0.1,19.449,38.109,10.04,2119.3
